Id,Call Start Time,Call Owner Name,CONTACTID,Call Type,Call Duration (in seconds),Call Status,Outgoing Call Status,Scheduled in CRM,Invalid Call Duration
5805028000001244013,2023-07-07 11:08:00,Jane Smith,5805028000001204013,Inbound,1398.0,Received,,,False
5805028000001262001,2023-07-07 11:39:00,Jane Smith,5805028000001211013,Outbound,1346.0,Attended Dialled,Completed,0.0,False
5805028000001265001,2023-07-07 12:14:00,Jane Smith,5805028000001187016,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001244025,2023-07-07 12:20:00,Jane Smith,5805028000001076115,Outbound,60.0,Attended Dialled,Completed,0.0,False
5805028000001262013,2023-07-07 12:23:00,Jane Smith,5805028000001033019,Outbound,8.0,Attended Dialled,Completed,0.0,False
5805028000001277001,2023-07-07 13:01:00,Jane Smith,5805028000001079018,Outbound,1259.0,Attended Dialled,Completed,0.0,False
5805028000001280001,2023-07-07 13:28:00,Jane Smith,5805028000000961001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001299001,2023-07-07 16:10:00,Jane Smith,5805028000001033019,Outbound,9.0,Attended Dialled,Completed,0.0,False
5805028000001302001,2023-07-07 16:28:00,Jane Smith,5805028000000961001,Outbound,48.0,Attended Dialled,Completed,0.0,False
5805028000001302013,2023-07-07 18:16:00,Jane Smith,5805028000001187016,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001310013,2023-07-07 18:19:00,Jane Smith,5805028000001204049,Outbound,10.0,Attended Dialled,Completed,0.0,False
5805028000001318016,2023-07-07 18:23:00,Jane Smith,5805028000001319001,Outbound,37.0,Attended Dialled,Completed,0.0,False
5805028000001333001,2023-07-07 18:24:00,Jane Smith,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001334001,2023-07-07 18:25:00,Jane Smith,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001322030,2023-07-07 18:44:00,Jane Smith,5805028000001319001,Outbound,2289.0,Attended Dialled,Completed,0.0,False
5805028000001317014,2023-07-07 19:30:00,Jane Smith,5805028000001296026,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001299061,2023-07-07 19:32:00,Jane Smith,5805028000001325013,Outbound,4.0,Attended Dialled,Completed,0.0,False
5805028000001334013,2023-07-07 19:34:00,Jane Smith,5805028000001296026,Inbound,1611.0,Received,,,False
5805028000001331011,2023-07-07 19:38:00,Jane Smith,5805028000001187016,Missed,0.0,Missed,,,False
5805028000001350001,2023-07-07 20:03:00,Jane Smith,5805028000001187016,Outbound,910.0,Attended Dialled,Completed,0.0,False
5805028000001363001,2023-07-07 20:32:00,Jane Smith,5805028000001076115,Outbound,701.0,Attended Dialled,Completed,0.0,False
5805028000001350013,2023-07-07 20:44:00,Jane Smith,5805028000001076115,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001369001,2023-07-07 20:55:00,Jane Smith,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001390021,2023-07-08 10:16:00,Jane Smith,5805028000001387008,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001402026,2023-07-08 10:17:00,Jane Smith,5805028000001401025,Outbound,412.0,Attended Dialled,Completed,0.0,False
5805028000001399006,2023-07-08 10:24:00,Jane Smith,5805028000001401025,Outbound,585.0,Attended Dialled,Completed,0.0,False
5805028000001348029,2023-07-08 10:34:00,Jane Smith,5805028000001401025,Inbound,12.0,Received,,,False
5805028000001363033,2023-07-08 10:34:00,Jane Smith,5805028000001401025,Outbound,9.0,Attended Dialled,Completed,0.0,False
5805028000001350106,2023-07-08 10:34:00,Jane Smith,5805028000001401025,Outbound,39.0,Attended Dialled,Completed,0.0,False
5805028000001399018,2023-07-08 10:36:00,Jane Smith,5805028000001401025,Inbound,436.0,Received,,,False
5805028000001402038,2023-07-08 10:45:00,Jane Smith,5805028000001387008,Inbound,1286.0,Received,,,False
5805028000001348041,2023-07-08 11:18:00,Jane Smith,5805028000001350049,Outbound,507.0,Attended Dialled,Completed,0.0,False
5805028000001369121,2023-07-08 11:31:00,Jane Smith,5805028000001404007,Outbound,978.0,Attended Dialled,Completed,0.0,False
5805028000001348053,2023-07-08 11:49:00,Jane Smith,,Outbound,750.0,Attended Dialled,Completed,0.0,False
5805028000001401109,2023-07-08 12:23:00,Jane Smith,5805028000001369037,Outbound,110.0,Attended Dialled,Completed,0.0,False
5805028000001404066,2023-07-08 12:26:00,Jane Smith,5805028000001377006,Outbound,97.0,Attended Dialled,Completed,0.0,False
